 Lat, Lon, B1, B2, B3, B4, B5, B6, realfvc, NDVI3, class_code
42.29450596, 101.1263041, 1426, 2016, 2435, 2688, 3235, 2999, 0.0017, 0.080476, 1
42.28008073, 101.117451, 1485, 2091, 2493, 3200, 3334, 2834, 0.1445, 0.186804, 2
42.25177069, 101.1143215, 724, 1163, 1204, 3479, 2288, 1470, 0.799, 0.700818, 3
42.23217407, 101.1074868, 1218, 1868, 2136, 3441, 3083, 2479, 0.2077, 0.342892, 4
42.22388391, 101.102849, 752, 1274, 1226, 4175, 2273, 1402, 0.5721, 0.786404, 4
42.2113398, 101.0944374, 448, 801, 663, 3907, 1766, 948, 0.7278, 1, 2
42.17210336, 101.0829723, 692, 1052, 1034, 4105, 2536, 1463, 0.696, 0.859718, 3
42.15252392, 101.0750682, 766, 1347, 1286, 3959, 2335, 1475, 0.6321, 0.734689, 4
42.11464734, 101.0019833, 1411, 2010, 2455, 2975, 3765, 3453, 0.0238, 0.146401, 5
42.11343444, 101.0552861, 751, 1164, 1218, 3452, 2514, 1731, 0.6262, 0.690261, 2
42.11307643, 101.0298742, 1455, 2069, 2448, 3613, 3578, 2934, 0.0206, 0.283498, 6
42.11193555, 100.9870208, 1213, 1737, 2113, 2314, 2994, 2763, 0.0077, 0.074816, 7
42.0809562, 101.0281244, 873, 1489, 1438, 4236, 2451, 1553, 0.5023, 0.711233, 4
42.04475336, 101.0432833, 829, 1319, 1557, 3295, 2825, 2069, 0.493, 0.519445, 2
42.03678691, 101.050639, 665, 1087, 1118, 3389, 2377, 1556, 0.4954, 0.726522, 2
42.02452559, 101.0564048, 812, 1196, 1352, 3462, 2704, 1866, 0.557, 0.633307, 2
42.00391941, 101.1343465, 959, 1528, 1622, 3347, 2424, 1748, 0.4714, 0.503738, 4
42.00225604, 101.1654425, 856, 1351, 1471, 3562, 2521, 1856, 0.6397, 0.600831, 4
42.00090211, 101.1367812, 672, 1071, 1172, 2827, 2007, 1395, 0.6872, 0.59855, 2
41.99907938, 101.1330981, 1117, 1557, 1855, 2721, 2836, 2502, 0.4112, 0.279284, 8
41.99811201, 101.0678689, 378, 824, 724, 3785, 1806, 1044, 0.6505, 0.97525, 9
41.99603222, 101.1659558, 787, 1121, 1250, 2835, 2281, 1613, 0.5855, 0.561807, 2
41.99089954, 101.0632893, 1088, 1679, 1869, 3028, 2901, 2374, 0.2896, 0.3467, 4
41.98688909, 101.1779584, 940, 1546, 1587, 3690, 2479, 1657, 0.3292, 0.576757, 4
41.98609016, 101.1196273, 486, 913, 796, 4122, 1934, 1058, 0.7448, 0.971592, 3
41.98322311, 101.14307, 997, 1564, 1827, 3200, 2796, 2280, 0.4787, 0.398511, 4
41.98184315, 101.1875634, 651, 1097, 1200, 3072, 2352, 1547, 0.4057, 0.633161, 2
41.98156624, 101.187916, 743, 1168, 1286, 3001, 2520, 1681, 0.4611, 0.578924, 4
41.98099538, 101.1466163, 886, 1365, 1673, 3052, 2700, 2101, 0.4627, 0.425131, 2
41.9747782, 101.1322867, 1132, 1686, 2011, 2940, 2928, 2531, 0.3075, 0.276997, 4
41.97435901, 101.1257554, 918, 1483, 1721, 3505, 2838, 2145, 0.2163, 0.495518, 8
41.97348858, 101.0996578, 571, 956, 961, 3024, 2053, 1299, 0.5565, 0.74615, 2
41.96739049, 101.0933029, 536, 900, 842, 3228, 1910, 1116, 0.6199, 0.84359, 2
41.9415587, 101.1604916, 760, 1265, 1355, 3270, 2234, 1570, 0.4955, 0.598835, 2
41.9412955, 101.1601208, 851, 1305, 1492, 3423, 2575, 1772, 0.199, 0.568736, 8
41.9404037, 101.1644332, 869, 1386, 1534, 3557, 2717, 1980, 0.4257, 0.575117, 4
41.93952828, 101.1390726, 850, 1373, 1459, 3850, 2710, 1865, 0.5136, 0.650453, 4
41.9360383, 101.1378704, 1080, 1613, 1899, 3352, 3055, 2420, 0.4819, 0.403606, 10
41.92710087, 101.139019, 805, 1415, 1541, 3064, 2474, 1814, 0.5382, 0.48039, 2
41.91837185, 101.12896, 674, 1163, 1101, 4402, 2330, 1398, 0.5018, 0.862942, 4

